"go_id","go_desc","gene_count","up_count","down_count"
"GO:0030865","cortical cytoskeleton organization",3,2,1
"GO:0030976","thiamine pyrophosphate binding",3,1,2
"GO:0031072","heat shock protein binding",3,1,2
"GO:0031267","small GTPase binding",3,2,1
"GO:0031624","ubiquitin conjugating enzyme binding",3,1,2
"GO:0031625","ubiquitin protein ligase binding",3,0,3
"GO:0031640","killing of cells of other organism",3,1,2
"GO:0031977","thylakoid lumen",3,0,3
"GO:0032451","demethylase activity",3,1,2
"GO:0032508","DNA duplex unwinding",3,1,2
"GO:0032586","protein storage vacuole membrane",3,2,1
"GO:0032774","RNA biosynthetic process",3,1,2
"GO:0032956","regulation of actin cytoskeleton organization",3,2,1
"GO:0032968","positive regulation of transcription elongation from RNA polymerase II promoter",3,0,3
"GO:0033617","mitochondrial cytochrome c oxidase assembly",3,3,0
"GO:0034504","protein localization to nucleus",3,0,3
"GO:0035195","gene silencing by miRNA",3,0,3
"GO:0035335","peptidyl-tyrosine dephosphorylation",3,2,1
"GO:0042147","retrograde transport, endosome to Golgi",3,1,2
"GO:0042170","plastid membrane",3,1,2
"GO:0042546","cell wall biogenesis",3,1,2
"GO:0042626","ATPase activity, coupled to transmembrane movement of substances",3,0,3
"GO:0042761","very long-chain fatty acid biosynthetic process",3,0,3
"GO:0042910","xenobiotic transmembrane transporter activity",3,1,2
"GO:0042973","glucan endo-1,3-beta-D-glucosidase activity",3,0,3
"GO:0042995","cell projection",3,2,1
"GO:0043130","ubiquitin binding",3,2,1
"GO:0043169","cation binding",3,2,1
"GO:0043232","intracellular non-membrane-bounded organelle",3,1,2
"GO:0044205","'de novo' UMP biosynthetic process",3,1,2
"GO:0044260","cellular macromolecule metabolic process",3,1,2
"GO:0044620","ACP phosphopantetheine attachment site binding",3,1,2
"GO:0045087","innate immune response",3,2,1
"GO:0045089","positive regulation of innate immune response",3,1,2
"GO:0045300","acyl-[acyl-carrier-protein] desaturase activity",3,0,3
"GO:0045892","negative regulation of transcription, DNA-templated",3,1,2
"GO:0046470","phosphatidylcholine metabolic process",3,2,1
"GO:0046777","protein autophosphorylation",3,3,0
"GO:0046930","pore complex",3,0,3
"GO:0047334","diphosphate-fructose-6-phosphate 1-phosphotransferase activity",3,2,1
"GO:0048229","gametophyte development",3,1,2
"GO:0048268","clathrin coat assembly",3,0,3
"GO:0048573","photoperiodism, flowering",3,0,3
"GO:0048767","root hair elongation",3,0,3
"GO:0050664","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",3,2,1
"GO:0050826","response to freezing",3,0,3
"GO:0051028","mRNA transport",3,2,1
"GO:0051085","chaperone cofactor-dependent protein refolding",3,0,3
"GO:0051453","regulation of intracellular pH",3,1,2
"GO:0051560","mitochondrial calcium ion homeostasis",3,2,1
"GO:0051604","protein maturation",3,3,0
"GO:0051753","mannan synthase activity",3,1,2
"GO:0051787","misfolded protein binding",3,1,2
"GO:0052689","carboxylic ester hydrolase activity",3,2,1
"GO:0060401","cytosolic calcium ion transport",3,2,1
"GO:0070403","NAD+ binding",3,2,1
"GO:0070413","trehalose metabolism in response to stress",3,2,1
"GO:0070615","nucleosome-dependent ATPase activity",3,3,0
"GO:0070816","phosphorylation of RNA polymerase II C-terminal domain",3,0,3
"GO:0070988","demethylation",3,1,2
"GO:0071329","cellular response to sucrose stimulus",3,0,3
"GO:0071457","cellular response to ozone",3,0,3
"GO:0071472","cellular response to salt stress",3,0,3
"GO:0071484","cellular response to light intensity",3,0,3
"GO:0071493","cellular response to UV-B",3,0,3
"GO:0071805","potassium ion transmembrane transport",3,1,2
"GO:0090377","seed trichome initiation",3,1,2
"GO:0090436","leaf pavement cell development",3,3,0
"GO:0097502","mannosylation",3,1,2
"GO:0102336","3-oxo-arachidoyl-CoA synthase activity",3,0,3
"GO:0102337","3-oxo-cerotoyl-CoA synthase activity",3,0,3
"GO:0102338","3-oxo-lignoceronyl-CoA synthase activity",3,0,3
"GO:0102485","dATP phosphohydrolase activity",3,2,1
"GO:0102486","dCTP phosphohydrolase activity",3,2,1
"GO:0102487","dUTP phosphohydrolase activity",3,2,1
"GO:0102488","dTTP phosphohydrolase activity",3,2,1
"GO:0102489","GTP phosphohydrolase activity",3,2,1
"GO:0102490","8-oxo-dGTP phosphohydrolase activity",3,2,1
"GO:0102491","dGTP phosphohydrolase activity",3,2,1
"GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity",3,0,3
"GO:0102786","stearoyl-[acp] desaturase activity",3,0,3
"GO:0120029","proton export across plasma membrane",3,1,2
"GO:0140021","mitochondrial ADP transmembrane transport",3,2,1
"GO:0140414","phosphopantetheine-dependent carrier activity",3,1,2
"GO:0140527","reciprocal homologous recombination",3,1,2
"GO:1901566","organonitrogen compound biosynthetic process",3,0,3
"GO:1990070","TRAPPI protein complex",3,0,3
"GO:1990071","TRAPPII protein complex",3,0,3
"GO:1990072","TRAPPIII protein complex",3,0,3
"GO:1990246","uniplex complex",3,2,1
"GO:1990542","mitochondrial transmembrane transport",3,2,1
"GO:1990544","mitochondrial ATP transmembrane transport",3,2,1
"GO:1990961","xenobiotic detoxification by transmembrane export across the plasma membrane",3,1,2
"GO:0000070","mitotic sister chromatid segregation",2,1,1
"GO:0000082","G1/S transition of mitotic cell cycle",2,1,1
"GO:0000148","1,3-beta-D-glucan synthase complex",2,0,2
"GO:0000162","tryptophan biosynthetic process",2,1,1
"GO:0000272","polysaccharide catabolic process",2,1,1
"GO:0000278","mitotic cell cycle",2,2,0
"GO:0000281","mitotic cytokinesis",2,0,2
"GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA",2,2,0
"GO:0000302","response to reactive oxygen species",2,0,2
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome",2,0,2
"GO:0000470","maturation of LSU-rRNA",2,1,1
"GO:0000724","double-strand break repair via homologous recombination",2,0,2
"GO:0000725","recombinational repair",2,0,2
"GO:0000781","chromosome, telomeric region",2,2,0
"GO:0000993","RNA polymerase II complex binding",2,1,1
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",2,0,2
"GO:0001676","long-chain fatty acid metabolic process",2,0,2
"GO:0001678","cellular glucose homeostasis",2,0,2
"GO:0003333","amino acid transmembrane transport",2,0,2
"GO:0003697","single-stranded DNA binding",2,2,0
"GO:0003713","transcription coactivator activity",2,1,1
"GO:0003724","RNA helicase activity",2,1,1
"GO:0003825","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",2,2,0
"GO:0003843","1,3-beta-D-glucan synthase activity",2,0,2
"GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity",2,1,1
"GO:0003918","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",2,1,1
"GO:0003950","NAD+ ADP-ribosyltransferase activity",2,2,0
"GO:0003951","NAD+ kinase activity",2,1,1
"GO:0004034","aldose 1-epimerase activity",2,1,1
"GO:0004096","catalase activity",2,1,1
"GO:0004106","chorismate mutase activity",2,0,2
"GO:0004165","dodecenoyl-CoA delta-isomerase activity",2,1,1
"GO:0004176","ATP-dependent peptidase activity",2,2,0
"GO:0004222","metalloendopeptidase activity",2,1,1
"GO:0004300","enoyl-CoA hydratase activity",2,1,1
"GO:0004340","glucokinase activity",2,0,2
"GO:0004351","glutamate decarboxylase activity",2,1,1
"GO:0004421","hydroxymethylglutaryl-CoA synthase activity",2,0,2
"GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",2,0,2
"GO:0004471","malate dehydrogenase (decarboxylating) (NAD+) activity",2,0,2
"GO:0004473","malate dehydrogenase (decarboxylating) (NADP+) activity",2,0,2
"GO:0004521","endoribonuclease activity",2,1,1
"GO:0004571","mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",2,1,1
"GO:0004623","phospholipase A2 activity",2,0,2
"GO:0004630","phospholipase D activity",2,2,0
"GO:0004632","phosphopantothenate--cysteine ligase activity",2,0,2
"GO:0004683","calmodulin-dependent protein kinase activity",2,2,0
"GO:0004713","protein tyrosine kinase activity",2,1,1
"GO:0004722","protein serine/threonine phosphatase activity",2,2,0
"GO:0004768","stearoyl-CoA 9-desaturase activity",2,0,2
"GO:0004806","triglyceride lipase activity",2,1,1
"GO:0005049","nuclear export signal receptor activity",2,2,0
"GO:0005227","calcium activated cation channel activity",2,0,2
"GO:0005319","lipid transporter activity",2,0,2
"GO:0005375","copper ion transmembrane transporter activity",2,1,1
"GO:0005385","zinc ion transmembrane transporter activity",2,2,0
"GO:0005484","SNAP receptor activity",2,2,0
"GO:0005536","glucose binding",2,0,2
"GO:0005544","calcium-dependent phospholipid binding",2,1,1
"GO:0005546","phosphatidylinositol-4,5-bisphosphate binding",2,0,2
"GO:0005680","anaphase-promoting complex",2,0,2
"GO:0005694","chromosome",2,1,1
"GO:0005763","mitochondrial small ribosomal subunit",2,0,2
"GO:0005769","early endosome",2,2,0
"GO:0005778","peroxisomal membrane",2,0,2
"GO:0005786","signal recognition particle, endoplasmic reticulum targeting",2,1,1
"GO:0005849","mRNA cleavage factor complex",2,1,1
"GO:0005947","mitochondrial alpha-ketoglutarate dehydrogenase complex",2,0,2
"GO:0005948","acetolactate synthase complex",2,0,2
"GO:0005977","glycogen metabolic process",2,0,2
"GO:0006000","fructose metabolic process",2,0,2
"GO:0006004","fucose metabolic process",2,1,1
"GO:0006020","inositol metabolic process",2,0,2
"GO:0006032","chitin catabolic process",2,1,1
"GO:0006071","glycerol metabolic process",2,0,2
"GO:0006073","cellular glucan metabolic process",2,1,1
"GO:0006075","(1->3)-beta-D-glucan biosynthetic process",2,0,2
"GO:0006081","cellular aldehyde metabolic process",2,0,2
"GO:0006084","acetyl-CoA metabolic process",2,0,2
"GO:0006094","gluconeogenesis",2,2,0
"GO:0006099","tricarboxylic acid cycle",2,2,0
"GO:0006108","malate metabolic process",2,0,2
"GO:0006189","'de novo' IMP biosynthetic process",2,2,0
"GO:0006207","'de novo' pyrimidine nucleobase biosynthetic process",2,0,2
"GO:0006210","thymine catabolic process",2,1,1
"GO:0006298","mismatch repair",2,1,1
"GO:0006338","chromatin remodeling",2,2,0
"GO:0006342","chromatin silencing",2,1,1
"GO:0006352","DNA-templated transcription, initiation",2,1,1
"GO:0006541","glutamine metabolic process",2,0,2
"GO:0006546","glycine catabolic process",2,0,2
"GO:0006552","leucine catabolic process",2,0,2
"GO:0006558","L-phenylalanine metabolic process",2,1,1
"GO:0006598","polyamine catabolic process",2,1,1
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",2,1,1
"GO:0006662","glycerol ether metabolic process",2,2,0
"GO:0006694","steroid biosynthetic process",2,0,2
"GO:0006695","cholesterol biosynthetic process",2,1,1
"GO:0006793","phosphorus metabolic process",2,2,0
"GO:0006820","anion transport",2,2,0
"GO:0006825","copper ion transport",2,1,1
"GO:0006826","iron ion transport",2,0,2
"GO:0006851","mitochondrial calcium ion transmembrane transport",2,2,0
"GO:0006862","nucleotide transport",2,0,2
"GO:0006878","cellular copper ion homeostasis",2,2,0
"GO:0006880","intracellular sequestering of iron ion",2,0,2
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",2,2,0
"GO:0006891","intra-Golgi vesicle-mediated transport",2,2,0
"GO:0006893","Golgi to plasma membrane transport",2,0,2
"GO:0006913","nucleocytoplasmic transport",2,2,0
"GO:0007005","mitochondrion organization",2,1,1
"GO:0007030","Golgi organization",2,2,0
"GO:0007062","sister chromatid cohesion",2,1,1
"GO:0007094","mitotic spindle assembly checkpoint signaling",2,1,1
"GO:0007130","synaptonemal complex assembly",2,1,1
"GO:0007131","reciprocal meiotic recombination",2,0,2
"GO:0007140","male meiotic nuclear division",2,1,1
"GO:0007143","female meiotic nuclear division",2,1,1
"GO:0007267","cell-cell signaling",2,0,2
"GO:0007275","multicellular organism development",2,0,2
"GO:0008033","tRNA processing",2,1,1
"GO:0008061","chitin binding",2,1,1
"GO:0008104","protein localization",2,0,2
"GO:0008115","sarcosine oxidase activity",2,0,2
"GO:0008139","nuclear localization sequence binding",2,2,0
"GO:0008198","ferrous iron binding",2,1,1
"GO:0008199","ferric iron binding",2,1,1
"GO:0008235","metalloexopeptidase activity",2,0,2
"GO:0008236","serine-type peptidase activity",2,1,1
"GO:0008278","cohesin complex",2,1,1
"GO:0008312","7S RNA binding",2,1,1
"GO:0008324","cation transmembrane transporter activity",2,0,2
"GO:0008356","asymmetric cell division",2,0,2
"GO:0008375","acetylglucosaminyltransferase activity",2,1,1
"GO:0008378","galactosyltransferase activity",2,1,1
"GO:0008460","dTDP-glucose 4,6-dehydratase activity",2,2,0
"GO:0008692","3-hydroxybutyryl-CoA epimerase activity",2,1,1
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity",2,2,0
"GO:0008810","cellulase activity",2,1,1
"GO:0008865","fructokinase activity",2,0,2
"GO:0008889","glycerophosphodiester phosphodiesterase activity",2,0,2
"GO:0009065","glutamine family amino acid catabolic process",2,1,1
"GO:0009072","aromatic amino acid family metabolic process",2,0,2
"GO:0009073","aromatic amino acid family biosynthetic process",2,0,2
"GO:0009082","branched-chain amino acid biosynthetic process",2,0,2
"GO:0009083","branched-chain amino acid catabolic process",2,0,2
"GO:0009086","methionine biosynthetic process",2,1,1
"GO:0009102","biotin biosynthetic process",2,0,2
"GO:0009116","nucleoside metabolic process",2,0,2
"GO:0009225","nucleotide-sugar metabolic process",2,2,0
"GO:0009231","riboflavin biosynthetic process",2,2,0
"GO:0009269","response to desiccation",2,0,2
"GO:0009341","beta-galactosidase complex",2,0,2
"GO:0009448","gamma-aminobutyric acid metabolic process",2,0,2
"GO:0009528","plastid inner membrane",2,1,1
"GO:0009554","megasporogenesis",2,1,1
"GO:0009574","preprophase band",2,2,0
"GO:0009585","red, far-red light phototransduction",2,0,2
"GO:0009625","response to insect",2,0,2
"GO:0009627","systemic acquired resistance",2,0,2
"GO:0009631","cold acclimation",2,1,1
"GO:0009637","response to blue light",2,0,2
"GO:0009640","photomorphogenesis",2,0,2
"GO:0009644","response to high light intensity",2,1,1
"GO:0009660","amyloplast organization",2,0,2
"GO:0009664","plant-type cell wall organization",2,1,1
"GO:0009694","jasmonic acid metabolic process",2,0,2
"GO:0009700","indole phytoalexin biosynthetic process",2,0,2
"GO:0009735","response to cytokinin",2,1,1
"GO:0009739","response to gibberellin",2,1,1
"GO:0009741","response to brassinosteroid",2,2,0
"GO:0009791","post-embryonic development",2,0,2
"GO:0009826","unidimensional cell growth",2,1,1
"GO:0009834","plant-type secondary cell wall biogenesis",2,0,2
"GO:0009851","auxin biosynthetic process",2,0,2
"GO:0009864","induced systemic resistance, jasmonic acid mediated signaling pathway",2,0,2
"GO:0009867","jasmonic acid mediated signaling pathway",2,0,2
"GO:0009911","positive regulation of flower development",2,1,1
"GO:0009956","radial pattern formation",2,1,1
"GO:0010008","endosome membrane",2,1,1
"GO:0010014","meristem initiation",2,2,0
"GO:0010025","wax biosynthetic process",2,1,1
"GO:0010033","response to organic substance",2,1,1
"GO:0010041","response to iron(III) ion",2,1,1
"GO:0010100","negative regulation of photomorphogenesis",2,0,2
"GO:0010119","regulation of stomatal movement",2,1,1
"GO:0010143","cutin biosynthetic process",2,0,2
"GO:0010150","leaf senescence",2,2,0
"GO:0010161","red light signaling pathway",2,2,0
"GO:0010179","IAA-Ala conjugate hydrolase activity",2,2,0
"GO:0010181","FMN binding",2,0,2
"GO:0010182","sugar mediated signaling pathway",2,2,0
"GO:0010183","pollen tube guidance",2,2,0
"GO:0010190","cytochrome b6f complex assembly",2,0,2
"GO:0010193","response to ozone",2,0,2
"GO:0010207","photosystem II assembly",2,1,1
"GO:0010218","response to far red light",2,0,2
"GO:0010264","myo-inositol hexakisphosphate biosynthetic process",2,0,2
"GO:0010280","UDP-L-rhamnose synthase activity",2,2,0
"GO:0010311","lateral root formation",2,0,2
"GO:0010329","auxin efflux transmembrane transporter activity",2,0,2
"GO:0010344","seed oilbody biogenesis",2,0,2
"GO:0010389","regulation of G2/M transition of mitotic cell cycle",2,1,1
"GO:0010411","xyloglucan metabolic process",2,1,1
"GO:0010427","abscisic acid binding",2,2,0
"GO:0010508","positive regulation of autophagy",2,1,1
"GO:0010555","response to mannitol",2,0,2
"GO:0010608","posttranscriptional regulation of gene expression",2,2,0
"GO:0010930","negative regulation of auxin mediated signaling pathway",2,0,2
"GO:0012501","programmed cell death",2,2,0
"GO:0012506","vesicle membrane",2,1,1
"GO:0015035","protein-disulfide reductase activity",2,2,0
"GO:0015066","alpha-amylase inhibitor activity",2,2,0
"GO:0015120","phosphoglycerate transmembrane transporter activity",2,1,1
"GO:0015248","sterol transporter activity",2,0,2
"GO:0015301","anion:anion antiporter activity",2,2,0
"GO:0015713","phosphoglycerate transmembrane transport",2,1,1
"GO:0015717","triose phosphate transport",2,1,1
"GO:0015850","organic hydroxy compound transport",2,0,2
"GO:0015867","ATP transport",2,0,2
"GO:0015934","large ribosomal subunit",2,1,1
"GO:0015935","small ribosomal subunit",2,1,1
"GO:0015996","chlorophyll catabolic process",2,1,1
"GO:0016050","vesicle organization",2,2,0
"GO:0016117","carotenoid biosynthetic process",2,0,2
"GO:0016207","4-coumarate-CoA ligase activity",2,0,2
"GO:0016272","prefoldin complex",2,1,1
"GO:0016281","eukaryotic translation initiation factor 4F complex",2,2,0
"GO:0016297","acyl-[acyl-carrier-protein] hydrolase activity",2,1,1
"GO:0016579","protein deubiquitination",2,1,1
"GO:0016584","nucleosome positioning",2,2,0
"GO:0016624","oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",2,1,1
"GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors",2,1,1
"GO:0016656","monodehydroascorbate reductase (NADH) activity",2,2,0
"GO:0016688","L-ascorbate peroxidase activity",2,0,2
"GO:0016717","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",2,0,2
"GO:0016758","hexosyltransferase activity",2,1,1
"GO:0016762","xyloglucan:xyloglucosyl transferase activity",2,1,1
"GO:0016772","transferase activity, transferring phosphorus-containing groups",2,0,2
"GO:0016790","thiolester hydrolase activity",2,1,1
"GO:0016798","hydrolase activity, acting on glycosyl bonds",2,1,1
"GO:0016831","carboxy-lyase activity",2,1,1
"GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds",2,1,1
"GO:0017119","Golgi transport complex",2,0,2
"GO:0017148","negative regulation of translation",2,1,1
"GO:0018105","peptidyl-serine phosphorylation",2,2,0
"GO:0018230","peptidyl-L-cysteine S-palmitoylation",2,0,2
"GO:0019104","DNA N-glycosylase activity",2,2,0
"GO:0019137","thioglucosidase activity",2,0,2
"GO:0019158","mannokinase activity",2,0,2
"GO:0019375","galactolipid biosynthetic process",2,2,0
"GO:0019478","D-amino acid catabolic process",2,1,1
"GO:0019829","ATPase-coupled cation transmembrane transporter activity",2,0,2
"GO:0019853","L-ascorbic acid biosynthetic process",2,0,2
"GO:0019866","organelle inner membrane",2,1,1
"GO:0019903","protein phosphatase binding",2,1,1
"GO:0019904","protein domain specific binding",2,2,0
"GO:0022618","ribonucleoprotein complex assembly",2,2,0
"GO:0022626","cytosolic ribosome",2,1,1
"GO:0022627","cytosolic small ribosomal subunit",2,2,0
"GO:0022904","respiratory electron transport chain",2,0,2
"GO:0030117","membrane coat",2,2,0
"GO:0030126","COPI vesicle coat",2,2,0
"GO:0030127","COPII vesicle coat",2,2,0
"GO:0030145","manganese ion binding",2,1,1
"GO:0030163","protein catabolic process",2,2,0
"GO:0030332","cyclin binding",2,1,1
"GO:0030598","rRNA N-glycosylase activity",2,1,1
"GO:0030628","pre-mRNA 3'-splice site binding",2,2,0
"GO:0030658","transport vesicle membrane",2,2,0
"GO:0030870","Mre11 complex",2,0,2
"GO:0030942","endoplasmic reticulum signal peptide binding",2,1,1
"GO:0030968","endoplasmic reticulum unfolded protein response",2,1,1
"GO:0031011","Ino80 complex",2,1,1
"GO:0031047","gene silencing by RNA",2,2,0
"GO:0031145","anaphase-promoting complex-dependent catabolic process",2,0,2
"GO:0031177","phosphopantetheine binding",2,0,2
"GO:0031201","SNARE complex",2,2,0
"GO:0031225","anchored component of membrane",2,0,2
"GO:0031226","intrinsic component of plasma membrane",2,0,2
"GO:0031348","negative regulation of defense response",2,0,2
"GO:0031359","integral component of chloroplast outer membrane",2,0,2
"GO:0031491","nucleosome binding",2,2,0
"GO:0031492","nucleosomal DNA binding",2,2,0
"GO:0031570","DNA integrity checkpoint signaling",2,1,1
"GO:0031982","vesicle",2,1,1
"GO:0032200","telomere organization",2,1,1
"GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process",2,1,1
"GO:0032469","endoplasmic reticulum calcium ion homeostasis",2,0,2
"GO:0032502","developmental process",2,0,2
"GO:0032588","trans-Golgi network membrane",2,2,0
"GO:0033180","proton-transporting V-type ATPase, V1 domain",2,0,2
"GO:0033383","geranyl diphosphate metabolic process",2,1,1
"GO:0033512","L-lysine catabolic process to acetyl-CoA via saccharopine",2,1,1
"GO:0033962","P-body assembly",2,2,0
"GO:0034059","response to anoxia",2,2,0
"GO:0034485","phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity",2,0,2
"GO:0034599","cellular response to oxidative stress",2,1,1
"GO:0034605","cellular response to heat",2,2,0
"GO:0034613","cellular protein localization",2,1,1
"GO:0034654","nucleobase-containing compound biosynthetic process",2,2,0
"GO:0034976","response to endoplasmic reticulum stress",2,1,1
"GO:0035304","regulation of protein dephosphorylation",2,2,0
"GO:0035308","negative regulation of protein dephosphorylation",2,2,0
"GO:0035434","copper ion transmembrane transport",2,1,1
"GO:0035459","vesicle cargo loading",2,2,0
"GO:0035514","DNA demethylase activity",2,2,0
"GO:0035821","modulation of process of other organism",2,1,1
"GO:0035861","site of double-strand break",2,1,1
"GO:0036033","mediator complex binding",2,2,0
"GO:0036444","calcium import into the mitochondrion",2,1,1
"GO:0040015","negative regulation of multicellular organism growth",2,0,2
"GO:0042026","protein refolding",2,0,2
"GO:0042138","meiotic DNA double-strand break formation",2,0,2
"GO:0042254","ribosome biogenesis",2,0,2
"GO:0042301","phosphate ion binding",2,2,0
"GO:0042538","hyperosmotic salinity response",2,1,1
"GO:0043024","ribosomal small subunit binding",2,2,0
"GO:0043044","ATP-dependent chromatin remodeling",2,2,0
"GO:0043066","negative regulation of apoptotic process",2,2,0
"GO:0043069","negative regulation of programmed cell death",2,2,0
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",2,2,0
"GO:0043248","proteasome assembly",2,0,2
"GO:0043424","protein histidine kinase binding",2,0,2
"GO:0043570","maintenance of DNA repeat elements",2,1,1
"GO:0043649","dicarboxylic acid catabolic process",2,1,1
"GO:0043650","dicarboxylic acid biosynthetic process",2,0,2
"GO:0043666","regulation of phosphoprotein phosphatase activity",2,1,1
"GO:0043878","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity",2,0,2
"GO:0044030","regulation of DNA methylation",2,2,0
"GO:0044237","cellular metabolic process",2,1,1
"GO:0044249","cellular biosynthetic process",2,1,1
"GO:0044267","cellular protein metabolic process",2,2,0
"GO:0044419","biological process involved in interspecies interaction between organisms",2,1,1
"GO:0044772","mitotic cell cycle phase transition",2,2,0
"GO:0045132","meiotic chromosome segregation",2,0,2
"GO:0045252","oxoglutarate dehydrogenase complex",2,2,0
"GO:0045338","farnesyl diphosphate metabolic process",2,1,1
"GO:0045493","xylan catabolic process",2,0,2
"GO:0045548","phenylalanine ammonia-lyase activity",2,2,0
"GO:0045551","cinnamyl-alcohol dehydrogenase activity",2,0,2
"GO:0045910","negative regulation of DNA recombination",2,1,1
"GO:0046208","spermine catabolic process",2,1,1
"GO:0046394","carboxylic acid biosynthetic process",2,0,2
"GO:0046395","carboxylic acid catabolic process",2,0,2
"GO:0046417","chorismate metabolic process",2,0,2
"GO:0046434","organophosphate catabolic process",2,2,0
"GO:0046592","polyamine oxidase activity",2,1,1
"GO:0046620","regulation of organ growth",2,2,0
"GO:0046688","response to copper ion",2,1,1
"GO:0046907","intracellular transport",2,0,2
"GO:0046961","proton-transporting ATPase activity, rotational mechanism",2,0,2
"GO:0047274","galactinol-sucrose galactosyltransferase activity",2,0,2
"GO:0047911","galacturan 1,4-alpha-galacturonidase activity",2,1,1
"GO:0047938","glucose-6-phosphate 1-epimerase activity",2,1,1
"GO:0048024","regulation of mRNA splicing, via spliceosome",2,0,2
"GO:0048039","ubiquinone binding",2,1,1
"GO:0048284","organelle fusion",2,2,0
"GO:0048506","regulation of timing of meristematic phase transition",2,1,1
"GO:0048511","rhythmic process",2,0,2
"GO:0048577","negative regulation of short-day photoperiodism, flowering",2,0,2
"GO:0048825","cotyledon development",2,0,2
"GO:0048868","pollen tube development",2,1,1
"GO:0050242","pyruvate, phosphate dikinase activity",2,0,2
"GO:0050302","indole-3-acetaldehyde oxidase activity",2,0,2
"GO:0050377","UDP-glucose 4,6-dehydratase activity",2,2,0
"GO:0050665","hydrogen peroxide biosynthetic process",2,1,1
"GO:0050829","defense response to Gram-negative bacterium",2,2,0
"GO:0051013","microtubule severing",2,0,2
"GO:0051016","barbed-end actin filament capping",2,1,1
"GO:0051087","chaperone binding",2,0,2
"GO:0051156","glucose 6-phosphate metabolic process",2,0,2
"GO:0051211","anisotropic cell growth",2,2,0
"GO:0051259","protein complex oligomerization",2,0,2
"GO:0051445","regulation of meiotic cell cycle",2,1,1
"GO:0051555","flavonol biosynthetic process",2,2,0
"GO:0052692","raffinose alpha-galactosidase activity",2,0,2
"GO:0052747","sinapyl alcohol dehydrogenase activity",2,0,2
"GO:0052894","norspermine:oxygen oxidoreductase activity",2,1,1
"GO:0052901","spermine:oxygen oxidoreductase (spermidine-forming) activity",2,1,1
"GO:0055028","cortical microtubule",2,2,0
"GO:0055038","recycling endosome membrane",2,2,0
"GO:0055088","lipid homeostasis",2,0,2
"GO:0055129","L-proline biosynthetic process",2,1,1
"GO:0060249","anatomical structure homeostasis",2,1,1
"GO:0061025","membrane fusion",2,2,0
"GO:0061817","endoplasmic reticulum-plasma membrane tethering",2,0,2
"GO:0065004","protein-DNA complex assembly",2,1,1
"GO:0070192","chromosome organization involved in meiotic cell cycle",2,0,2
"GO:0070290","N-acylphosphatidylethanolamine-specific phospholipase D activity",2,2,0
"GO:0070402","NADPH binding",2,0,2
"GO:0070507","regulation of microtubule cytoskeleton organization",2,2,0
"GO:0070588","calcium ion transmembrane transport",2,0,2
"GO:0070647","protein modification by small protein conjugation or removal",2,1,1
"GO:0071108","protein K48-linked deubiquitination",2,1,1
"GO:0071280","cellular response to copper ion",2,0,2
"GO:0071421","manganese ion transmembrane transport",2,0,2
"GO:0071577","zinc ion transmembrane transport",2,2,0
"GO:0071669","plant-type cell wall organization or biogenesis",2,0,2
"GO:0071702","organic substance transport",2,0,2
"GO:0071705","nitrogen compound transport",2,0,2
"GO:0071917","triose-phosphate transmembrane transporter activity",2,1,1
"GO:0071944","cell periphery",2,1,1
"GO:0072330","monocarboxylic acid biosynthetic process",2,0,2
"GO:0072583","clathrin-dependent endocytosis",2,1,1
"GO:0072593","reactive oxygen species metabolic process",2,0,2
"GO:0072657","protein localization to membrane",2,1,1
"GO:0072699","protein localization to cortical microtubule cytoskeleton",2,2,0
"GO:0080008","Cul4-RING E3 ubiquitin ligase complex",2,1,1
"GO:0080030","methyl indole-3-acetate esterase activity",2,0,2
"GO:0080050","regulation of seed development",2,1,1
"GO:0080111","DNA demethylation",2,2,0
"GO:0080162","intracellular auxin transport",2,1,1
"GO:0080163","regulation of protein serine/threonine phosphatase activity",2,2,0
"GO:0080167","response to karrikin",2,0,2
"GO:0080186","developmental vegetative growth",2,1,1
"GO:0089701","U2AF complex",2,2,0
